"date","close","volume","open","high","low"

"2019/02/01","24.6300","11928890.0000","24.7400","25.3100","24.3100"
"2019/01/31","24.8500","19292380.0000","24.5000","25.4500","24.4700"
"2019/01/30","24.6400","19803460.0000","24.0100","24.7200","23.7600"
"2019/01/29","23.5200","11251310.0000","23.7400","23.8700","23.3100"
"2019/01/28","23.7200","13884910.0000","23.4300","24.1399","23.0600"
"2019/01/25","23.6300","28015970.0000","22.4800","23.9300","22.4700"
"2019/01/24","22.1000","13835230.0000","21.9800","22.2600","21.5000"
"2019/01/23","21.9700","11248080.0000","22.0500","22.6000","21.7550"
"2019/01/22","21.6800","19450730.0000","22.8800","22.9100","21.5000"
"2019/01/18","23.2600","23260730.0000","22.4500","23.8500","22.3000"
"2019/01/17","22.1400","11989320.0000","22.0500","22.4850","22.0200"
"2019/01/16","22.3300","9753472.0000","22.3700","22.6800","22.2800"
"2019/01/15","22.2500","11806990.0000","22.2500","22.7402","22.1200"
"2019/01/14","22.0400","14120930.0000","22.2500","22.3000","21.5300"
"2019/01/11","22.8800","10017400.0000","23.1900","23.7500","22.6900"
"2019/01/10","23.4000","12334940.0000","23.0000","23.5500","22.8300"
"2019/01/09","23.6900","21638390.0000","23.2400","24.1201","23.2200"
"2019/01/08","22.9500","15171570.0000","22.9900","23.1800","22.4350"
"2019/01/07","22.7600","18843420.0000","22.4300","22.8500","22.2600"
"2019/01/04","22.2700","25132510.0000","20.9800","22.6800","20.7501"
"2019/01/03","20.3500","18226060.0000","20.8900","21.1400","20.2500"
"2019/01/02","21.2700","15766120.0000","20.3100","21.4800","20.1800"
"2018/12/31","20.9300","19407160.0000","22.0400","22.4800","20.7700"
"2018/12/28","21.7100","16629620.0000","21.7800","22.0000","21.1500"
"2018/12/27","21.7000","31020970.0000","20.5000","22.0600","20.5000"
"2018/12/26","21.1000","25173190.0000","20.3200","21.1300","19.7500"
"2018/12/24","19.7500","28037350.0000","21.4900","21.5100","19.2600"
"2018/12/21","21.0800","49463160.0000","20.0900","21.9900","19.5200"
"2018/12/20","19.9100","17855170.0000","20.0900","20.2100","19.6400"
"2018/12/19","20.1700","15254470.0000","20.9500","21.4850","20.0000"
"2018/12/18","21.0400","14253720.0000","21.4700","21.8369","20.9100"
"2018/12/17","21.3500","16522610.0000","22.0400","22.2600","21.1700"
"2018/12/14","22.1700","14866570.0000","22.0400","22.9400","22.0100"
"2018/12/13","22.7100","25465660.0000","22.0000","23.3500","22.0000"
"2018/12/12","21.8900","19641470.0000","21.3000","22.3150","21.2700"
"2018/12/11","20.9100","13234290.0000","20.9500","21.3400","20.8200"
"2018/12/10","20.5100","14499860.0000","20.7500","21.1900","20.1200"
"2018/12/07","20.9300","13511700.0000","21.0700","21.7550","20.9200"
"2018/12/06","21.2300","20371030.0000","20.4500","21.4900","20.1100"
"2018/12/04","21.4500","18030990.0000","21.9200","22.2600","21.3900"
"2018/12/03","22.0100","19789730.0000","22.3600","22.4900","21.7700"
"2018/11/30","21.2300","10571810.0000","21.0000","21.2600","20.5600"
"2018/11/29","20.9700","13423490.0000","21.0500","21.1500","20.3800"
"2018/11/28","21.3800","16953020.0000","21.3200","21.4100","20.6100"
"2018/11/27","20.8400","14446410.0000","20.1900","21.0284","20.1100"
"2018/11/26","20.4600","22364110.0000","19.7600","20.7827","19.7500"
"2018/11/23","19.2700","18858160.0000","19.8600","19.8800","19.2100"
"2018/11/21","20.3400","29150310.0000","20.0000","20.6900","19.9200"
"2018/11/20","19.4900","41282110.0000","20.4800","20.5000","19.2698"
"2018/11/19","21.1100","42090120.0000","22.4500","22.8300","20.9300"
"2018/11/16","23.0500","23166090.0000","23.6800","24.0000","22.6000"
"2018/11/15","24.2000","24325410.0000","22.9000","24.2700","22.8100"
"2018/11/14","22.7600","11816150.0000","22.7500","23.0800","22.5000"
"2018/11/13","22.3900","14794310.0000","22.2400","22.7900","22.1700"
"2018/11/12","22.0100","14224290.0000","21.9200","22.3800","21.4600"
"2018/11/09","21.7000","17513360.0000","22.0000","22.4800","21.5800"
"2018/11/08","22.4000","17315400.0000","23.8500","23.8700","22.3800"
"2018/11/07","24.0700","10468940.0000","24.0200","24.1600","23.4700"
"2018/11/06","23.6000","10259500.0000","24.1000","24.4700","23.4500"
"2018/11/05","24.1500","10510420.0000","23.9400","24.4600","23.6500"
"2018/11/02","24.0500","26697660.0000","25.5400","25.6000","23.8400"
"2018/11/01","25.4500","25496360.0000","23.7200","25.7600","23.2001"
